;12:0;13:0iso;13:0;14:0iso;14:0;14:1w5;15:0iso;15:0anteiso;15:0;15:1w5;16:0iso;16:0;16:1w9;16:1w7;16:1w5;17:0iso;16:2w4;17:0;17:1w7;18:0iso;18:0;18:1w9;18:1w7;18:2w6;18:3w6;18:3w3;18:4w3;20:0;20:1w9;20:2w6;20:4w6;20:4w3;20:5w3;22:0;22:1w9;22:5w6;24:0;22:6w3;24:1w9;25:0;26:0
307;0.20;0.00;0.00;0.20;14.06;0.00;0.95;0.59;1.27;0.00;0.22;28.89;1.00;11.16;0.41;0.94;1.41;0.55;0.00;0.79;7.84;12.19;3.99;4.55;0.28;1.98;2.09;0.36;0.00;0.00;0.35;0.00;1.39;0.26;0.00;0.00;0.22;1.03;0.00;0.00;0.00
308;0.21;0.00;0.00;0.24;13.66;0.53;1.59;0.53;2.24;0.00;0.27;30.61;0.59;12.17;0.61;1.18;1.59;0.45;0.00;0.00;3.05;6.34;3.93;2.41;0.35;1.26;4.52;0.29;0.00;0.00;0.79;0.20;6.19;0.24;0.69;0.42;0.00;2.10;0.00;0.00;0.00
309;0.31;0.00;0.00;0.27;15.74;0.23;1.74;0.64;1.85;0.00;0.33;23.85;0.42;13.90;0.46;3.10;5.51;0.34;0.00;0.00;3.93;6.87;3.85;1.75;0.21;0.81;2.76;0.00;0.00;0.00;0.74;0.21;7.32;0.00;0.32;0.35;0.00;1.07;0.00;0.00;0.00
311;0.23;0.00;0.00;0.00;15.93;0.00;1.12;0.33;1.38;0.00;0.00;29.10;0.98;10.86;0.93;2.02;1.64;0.32;0.00;0.00;3.68;7.09;2.93;2.73;0.36;2.49;5.48;0.41;0.00;0.00;0.85;0.00;4.74;0.00;0.00;0.56;0.00;2.37;0.00;0.00;0.00
312;0.26;0.00;0.00;0.28;16.41;0.00;1.13;0.38;1.34;0.00;0.00;28.61;1.17;12.86;0.99;1.17;1.43;0.44;0.00;0.21;4.23;7.47;3.79;2.71;0.34;2.17;4.37;0.25;0.00;0.00;0.52;0.00;3.76;0.22;0.00;0.35;0.00;2.09;0.00;0.00;0.00
313;0.32;0.00;0.00;0.32;12.30;0.00;1.27;0.60;1.49;0.00;0.31;29.46;0.95;10.12;0.49;1.55;1.28;0.70;0.00;0.66;6.81;10.50;4.23;1.95;0.00;2.04;3.84;0.48;0.00;0.00;0.43;0.00;3.60;0.38;0.00;0.20;0.26;2.39;0.00;0.00;0.00
314;0.34;0.00;0.00;0.32;11.69;0.00;1.07;0.53;1.45;0.00;0.26;29.02;0.82;11.74;0.45;1.18;1.23;0.94;0.00;0.24;7.76;9.54;4.21;1.77;0.00;1.53;2.58;0.37;0.00;0.00;0.60;0.00;5.45;0.26;0.00;0.24;0.00;3.23;0.00;0.00;0.00
315;0.00;0.00;0.00;0.21;8.90;0.00;1.29;0.66;1.40;0.00;0.27;26.18;0.86;9.24;0.31;1.14;0.88;0.71;0.00;0.82;11.20;14.89;6.82;1.97;0.23;1.35;3.17;0.50;0.00;0.00;0.29;0.00;2.49;0.50;0.00;0.00;0.40;2.29;0.00;0.00;0.00
316;0.00;0.00;0.00;0.00;6.71;0.00;0.89;0.59;1.33;0.00;0.24;28.91;0.73;9.19;0.20;1.03;0.80;1.19;0.00;0.47;12.88;13.11;6.25;2.01;0.00;1.13;1.99;0.69;0.21;0.00;0.46;0.00;3.99;0.50;0.00;0.00;0.41;2.89;0.00;0.00;0.00
317;0.39;0.00;0.00;0.32;10.71;0.00;1.02;0.61;1.60;0.00;0.34;28.53;1.40;9.13;0.23;0.91;1.16;0.86;0.00;0.70;9.85;10.43;5.03;2.72;0.00;1.84;3.06;0.63;0.00;0.00;0.27;0.00;2.40;0.79;0.00;0.00;1.02;2.36;0.00;0.00;0.45
318;0.00;0.00;0.00;0.00;13.71;0.00;1.00;0.59;1.37;0.00;0.25;26.79;0.94;11.26;0.43;1.13;1.90;0.73;0.00;0.84;7.77;9.74;4.19;2.50;0.25;2.61;4.42;0.31;0.00;0.00;0.36;0.00;2.76;0.25;0.00;0.00;0.27;2.44;0.00;0.00;0.00
320;0.26;0.00;0.00;0.26;13.55;0.00;1.54;0.68;1.69;0.00;0.27;29.63;0.79;10.34;0.49;1.07;0.72;0.76;0.00;0.28;7.82;10.32;5.82;2.10;0.00;2.03;1.97;0.73;0.37;0.00;0.42;0.00;2.25;0.43;0.00;0.20;0.34;1.81;0.00;0.00;0.00
